pregunta;respuesta1;respuesta2;respuesta3;respuesta4
En un átomo...;Hay un núcleo compuesto de protones y neutrones y una corteza que contiene los electrones;Hay un núcleo compuesto de protones y electrones y una corteza que contiene los neutrones;Hay un núcleo compuesto de electrones y neutrones y una corteza que contiene los protones;Hay un núcleo compuesto de protones y una corteza que contiene los electrones
Los átomos de un mismo elemento;Tienen el mismo Z;Tienen el mismo A;Tienen el mismo Z y el mismo A;No tienen por qué tener ni el mismo Z ni el mismo A
En relación con las partículas subatómicas...;los electrones tienen carga negativa, los protones tienen carga positiva y los neutrones no tienen carga;los protones tienen carga negativa, los electrones tienen carga positiva y los neutrones no tienen carga;los electrones tienen carga negativa, los neutrones tienen carga positiva y los protones no tienen carga;los neutrones tienen carga negativa, los protones tienen carga positiva y los electrones no tienen carga
Los átomos son normalmente neutros porque...;Por regla general tienen el mismo número de protones que de electrones;Por regla general tienen el mismo número de protones que de neutrones;Por regla general tienen el mismo número de neutrones que de electrones;Porque los neutrones del nucleo neutralizan el resto de cargas.
Un átomo con más protones que neutrones...;La carga eléctrica no depende de esto;Tendrá carga neta positiva;Tendrá carga neta negativa;Es imposible que se de esa situación.
Sabiendo que el Z de un átomo es 6 y su A es 14 se puede concluir que...;El átomo tiene 6 protones y 8 neutrones;El átomo tiene 6 neutrones y 8 protones;El átomo tiene 6 protones y 14 neutrones;El átomo tiene 14 protones y 6 neutrones
Lós isótopos... ;Coinciden sólo en Z.;Coinciden sólo en A;Coinciden en Z y A;No coinciden ni en Z ni en A
De acuerdo con la ley del periodo...;Las propiedades de los elementos dependen de sus números atómicos;Las propiedades de los elementos dependen de sus números másicos;Las propiedades de los elementos dependen de su número de electrones;Las propiedades de los elementos no dependen de sus números atómicos.
En la tabla periódica...;Las filas se denominan periodos y las columnas se denominan grupos;Las filas se denominan grupos y las columnas se denominan periodos;Las filas se denominan periodos y las columnas se denominan clases;Las filas se denominan clases y las columnas se denominan periodos
Selecciona la opción correcta...;Los elementos de la misma columna tienen propiedades químicas similares;Los elementos de la misma fila tienen propiedades químicas similares;Los elementos de la misma columna tienen propiedades físicas similares;Los elementos de la misma fila tienen propiedades físicas similares
El litio, el sodio y el potasio se encuentran en la columna...;I;II;III;IV
El calcio y el magenesio se encuentran en la columna...;II;I;III; V
El helio se encuentra encuentra en la columna...;XVIII;XV;XVI;XVII
El silicio se encuentra en la misma columna que el...;Carbono;Hierro;Litio;Azufre
Los átomos con mayor radio se localizan...;Abajo a la izquierda;Abajo a la derecha;Arriba a la izquierda;Arriba a la derecha
Los átomos con mayor afinidad por los electrones se localizan...;Arriba a la izquierda;Abajo a la izquierda;Abajo a la derecha;Arriba a la derecha
La energía necesaria para quitar un electrón a un átomo se denomina...;Potencial de ionización;Carácter metálico;Carácter no-metálico;Radio atómico.
¿Qué significa que los metales son dúctiles?;Que se puede hacer hilos de ellos;Que son buenos conductores de la electricidad;Que se pueden hacer láminas de ellos;Que no conducen el calor
Los metales son buenos conductores de...;Calor y electricidad;Calor;Electricidad;Los metales no son buenos conductores
Los metales a temperatura ambiente...;Son sólidos, aunque hay excepciones;Son líquidos;Son sólidos;Son líquidos, aunque puede haber excepciones
Los no metales a temperatura ambiente...;Las tres opciones son correctas;Son sólidos;Son liquidos;Son Gaseosos.
Los metaloides;Tienen características intermedias entre metales y no metales, si bien se parecen más a los no metales;Tienen características intermedias entre metales y no metales, si bien se parecen más a los metales;Tienen características intermedias entre metales y no metales;El término metaloide no tiene sentido.
Por norma general los no metales...;No son dúctiles ni maleables;Son dúctiles, pero no maleables;Son maleables, pero no dúctiles;Son dúctiles y maleables.
Los metaloides...;Son semiconductores;Son aislantes;Son conductores;Sólo conducen bien el calor
Los gases nobles...;Son inertes;Son muy reactivos;Reaccionan facilmente, aunque solo con los metales;Reaccionan facilmente, aunque solo con los no metales
